LAT;LONG;ISO_NAME;ISO_2;Y_2000_09;Y_2001_11;Y_2004_01;Y_2004_05;Y_2005_09;Y_2005_11;Y_2008_05;Y_2008_06;Y_2008_07;Y_2008_08;Y_2008_09;Y_2008_10;Y_2008_11;Y_2008_12;Y_2009_01;Y_2009_02;Y_2009_03;Y_2009_04;Y_2009_05;Y_2009_06;Y_2009_07;Y_2009_08;Y_2009_09;Y_2009_10;Y_2009_11;Y_2009_12;Y_2010_01;Y_2010_02;Y_2010_03;Y_2010_04;Y_2010_05;Y_2010_06;Y_2010_07;Y_2010_08;Y_2010_09;Y_2010_10;Y_2010_11;Y_2010_12;Y_2011_01;Y_2011_02;Y_2011_03;Y_2011_04;Y_2011_05;Y_2011_06;Y_2011_07;Y_2011_08;Y_2011_09;Y_2011_10;Y_2011_11;Y_2011_12;Y_2012_01;Y_2012_02;Y_2012_03;Y_2012_04;Y_2012_05;Y_2012_06;Y_2012_07;Y_2012_08;Y_2012_09;Y_2012_10;Y_2012_11;Y_2012_12;Y_2013_01;Y_2013_02;Y_2013_03;Y_2013_04;Y_2013_05;Y_2013_06;LAT2010;LONG2010
9.50;2.25; Benin;BJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;37;27;25;35;42;52;40;36;46;55;64;133;129;150;194;328;400;392;481;241;174;196;270;291;321;297;333;417;432;437;340;288;238;254;294;289;300;322;12.86;-7.38
32.33;-64.75; Bermuda;BM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;5;4;8;7;5;5;5;6;6;6;10;12;9;7;8;11;9;13;16;11;8;10;8;11;10;13;14;17;16;15;17;16;10;9;11;16;15;19;17;18;20;18;19;22;34.75;-69.47
4.50;114.67; Brunei Darussalam;BN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;11;13;12;18;20;21;28;25;20;27;27;31;23;21;26;31;35;66;59;52;46;39;35;42;48;37;50;43;45;52;60;57;50;61;61;65;59;57;63;50;71;64;69;68;-4.08;118.98
-17.00;-65.00; Bolivia;BO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;138;51;53;62;34;37;46;45;52;43;41;40;41;57;48;47;42;64;58;97;101;93;116;146;254;238;179;169;195;170;225;157;146;167;208;220;245;298;280;218;230;222;222;208;215;268;-11.22;-62.84
12.17;-68.25; Bonaire;BQ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9.14;-67.64
-10.00;-55.00; Brazil;BR;0;0;0;0;0;0;0;0;1;2;4;7;2;1;1;2;1;3;2;4;5;146;357;2136;2485;2699;2486;2432;2649;2621;3126;2687;2659;2736;2810;3200;2565;2261;2343;3018;2574;3885;4189;4410;6279;15897;47340;32844;14859;11138;13614;14230;13525;12569;14203;14689;13984;14189;15220;17493;16555;15213;14569;14497;16123;15440;16505;16371;-11.75;-51.87
24.25;-76.00; Bahamas;BS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;8;11;13;15;21;18;20;19;18;19;23;31;21;16;21;28;31;57;53;51;43;39;39;46;71;52;50;46;45;40;42;49;41;39;44;43;42;51;47;40;55;48;48;44;26.75;-78.05
27.50;90.50; Bhutan;BT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;2;3;3;2;1;4;6;3;5;3;2;2;1;2;2;6;10;16;19;24;18;10;7;10;12;8;15;13;11;7;9;14;10;12;11;13;17;14;17;16;21;38;55.10;100.23
-22.00;24.00; Botswana;BW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;2;3;4;7;10;8;5;5;9;14;12;20;31;19;17;16;8;12;19;8;15;14;18;22;22;14;9;16;18;22;19;20;20;32;24;16;18;22;-20.11;13.11
53.00;28.00; Belarus;BY;0;0;0;0;0;0;0;0;0;0;1;3;4;3;1;2;1;1;2;2;4;2;112;260;286;333;322;366;400;384;505;462;527;533;669;759;573;687;882;1003;857;1454;1407;1556;1690;1780;1736;1945;2169;1718;2072;2150;2128;1833;1417;1362;1130;1150;1212;1416;1441;1298;1369;1331;1422;1381;1334;1190;62.32;29.29
17.25;-88.75; Belize;BZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;8;8;10;8;9;8;5;6;7;10;13;18;11;13;14;23;25;44;36;32;29;24;28;34;32;28;40;37;37;34;42;37;41;42;40;45;39;37;40;42;48;52;53;58;19.71;-87.60
60.00;-95.00; Canada;CA;0;0;0;0;0;0;0;1;1;2;3;2;3;3;2;5;2;3;1;10;13;346;622;3137;3165;3811;3556;3637;4206;3818;4497;3906;4021;3904;4422;5069;3946;3521;3995;5046;4687;7163;7011;7009;7146;7578;9605;9935;8349;6564;8991;7964;7667;7991;7689;6950;7112;7489;8379;9488;9249;9397;9303;9494;10267;9932;9987;9970;57.65;-103.94
0.02;25.00; Congo;CD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;4;1;2;2;2;1;2;4;2;5;4;3;4;4;4;3;4;4;8;19;18;16;80;22;23;14;13;18;19;18;15;18;18;23;20;18;17;15;16;14;14;19;19;19;0.14;11.89
